wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
Ses01F_script02_2_F000,7,0.0036712505,0.0057391888,0.00443438,0.0036399954,0.018691588785046728,-0.008143038940033875,0.02317875731734293,0.13305676159311708
Ses01F_script02_2_F001,7,0.0063653546,0.011154785,0.0079129785,0.007850333,0.4444444444444444,-0.017120402844739147,0.09457802753936162,0.21375896375859615
Ses01F_script02_2_F002,8,0.0050204704,0.009840318,0.0063491073,0.0075157,0.556923076923077,-0.005685369615093805,0.07828385485498848,0.30515828052628247
Ses01F_script02_2_F003,8,0.019401692,0.033216972,0.024321198,0.022614302,0.3784977908689249,-0.008269785212178249,0.8213049076270814,2.9753508343226462
Ses01F_script02_2_F004,8,0.014210828,0.027712315,0.017845634,0.02119018,0.3888363292336802,-0.006285549716267269,0.6170825382638054,2.842308875341117
Ses01F_script02_2_F005,8,0.011731048,0.026464438,0.014877742,0.021841763,0.5899053627760252,-0.02040513754764106,0.5963325631538983,1.4949028922570442
Ses01F_script02_2_F006,0,0.039658815,0.06793865,0.049930368,0.046050478,0.34501845018450183,-0.004604571131494595,3.4417038900866723,9.317455092884453
Ses01F_script02_2_F007,4,0.01447849,0.026940694,0.018383784,0.019687347,0.42276422764227645,-0.011850172086269595,0.5682612931234071,1.928246955894857
Ses01F_script02_2_F008,0,0.025270723,0.05495801,0.03157129,0.044957664,0.4700193423597679,-0.0051198162509535905,2.529398531407864,9.210082483638422
Ses01F_script02_2_F009,0,0.05125287,0.091549054,0.06483304,0.06459625,0.3342541436464088,-0.027298279746901244,6.390467033485897,17.304373714134403
Ses01F_script02_2_F010,0,0.030126553,0.062409963,0.03852519,0.049099073,0.5209003215434084,-0.002437468992866343,3.1901788774633295,7.100464997638272
Ses01F_script02_2_F011,8,0.02848284,0.054881256,0.035756875,0.04159997,0.4878048780487805,-0.007256526259880047,2.3860781213420688,8.50249595054097
Ses01F_script02_2_F012,4,0.03260919,0.06017635,0.04114213,0.04391249,0.34814143245693563,-0.004718609034171095,2.8236374508021225,15.653593975546924
Ses01F_script02_2_F013,4,0.010702172,0.022648199,0.013273369,0.018344924,0.2621359223300971,-0.005004167178412899,0.42895810919099886,1.6251281480878697
Ses01F_script02_2_F014,8,0.011850957,0.023841813,0.014783483,0.018694436,0.5927750410509032,-0.0062605231505585834,0.46187911177735325,1.633734861983342
Ses01F_script02_2_F015,3,0.013251122,0.023459276,0.016554523,0.01660674,0.45414364640883975,-0.006434584975067992,0.4182331993370065,1.914990712207124
Ses01F_script02_2_F016,0,0.047188234,0.0930051,0.060231507,0.070655525,0.48905109489051096,-0.0014427193946175976,6.941052550906671,12.548745448028507
Ses01F_script02_2_F017,7,0.004632744,0.009796941,0.005757597,0.00792338,0.46243739565943237,-0.0051854876801371574,0.0801999555385378,0.5621693171240623
Ses01F_script02_2_F018,8,0.0042958036,0.007380924,0.0052979323,0.0051362948,0.19745762711864406,-0.00627493636784493,0.04104599656743937,0.5304762397428731
Ses01F_script02_2_F019,1,0.004441948,0.0068488806,0.005511969,0.0040638745,0.1362339514978602,-0.005372816758608678,0.03259609509447637,0.47786824092424307
Ses01F_script02_2_F020,8,0.006349523,0.009298426,0.0074810777,0.005511667,0.3346938775510204,-0.008846450327837374,0.0570435128594821,0.6977396363723721
Ses01F_script02_2_F021,4,0.00439255,0.007035587,0.0052944915,0.004614875,0.1826086956521739,-0.002186585106755956,0.03548143473446709,0.4306391320392604
Ses01F_script02_2_F022,3,0.004595083,0.008605961,0.0055613397,0.0065593813,0.4163636363636364,-0.009329361091658939,0.058586044968493324,0.7995196862884189
Ses01F_script02_2_F023,7,0.0017869291,0.0023678553,0.0022131996,0.0008387084,0.0,-0.008111674105748534,0.0033134495522049246,0.014103791713438597
Ses01F_script02_2_F024,8,0.0016689288,0.0021245447,0.0020661603,0.00050795614,0.0,-0.010580682101135608,0.0025189571827462422,0.009163234438229948
Ses01F_script02_2_F025,4,0.0046389443,0.0072396225,0.005750983,0.004435523,0.22392638036809817,-0.0073471219366183504,0.0367553362384311,0.10893466076776732
Ses01F_script02_2_F026,7,0.0025861945,0.0039143325,0.0032384833,0.0022119302,0.0,-0.0055268806136155035,0.010500822428829498,0.03043059713418226
Ses01F_script02_2_F027,4,0.0030822959,0.006027188,0.0038312224,0.004637507,0.011363636363636364,-0.0045273536670720205,0.029414776808811677,0.11980603389846627
Ses01F_script02_2_F028,8,0.012964045,0.020655522,0.01630615,0.012887369,0.24376731301939059,-0.007824591193639208,0.30356324284880526,0.8250021159662483
