,wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
0,Ses01F_script02_2_F000,5,0.0036712505,0.0057391888,0.00443438,0.0036399954,0.0186915887850467,-0.0081430389400338,0.0231787573173429,0.133056761593117
1,Ses01F_script02_2_F001,5,0.0063653546,0.011154785,0.0079129785,0.007850333,0.4444444444444444,-0.0171204028447391,0.0945780275393616,0.2137589637585961
6,Ses01F_script02_2_F006,0,0.039658815,0.06793865,0.049930368,0.046050478,0.3450184501845018,-0.0046045711314945,3.4417038900866723,9.317455092884453
7,Ses01F_script02_2_F007,2,0.01447849,0.026940694,0.018383784,0.019687347,0.4227642276422764,-0.0118501720862695,0.5682612931234071,1.928246955894857
8,Ses01F_script02_2_F008,0,0.025270723,0.05495801,0.03157129,0.044957664,0.4700193423597679,-0.0051198162509535,2.529398531407864,9.210082483638422
9,Ses01F_script02_2_F009,0,0.05125287,0.091549054,0.06483304,0.06459625,0.3342541436464088,-0.0272982797469012,6.390467033485897,17.304373714134403
10,Ses01F_script02_2_F010,0,0.030126553,0.062409963,0.03852519,0.049099073,0.5209003215434084,-0.0024374689928663,3.190178877463329,7.100464997638272
12,Ses01F_script02_2_F012,2,0.03260919,0.06017635,0.04114213,0.04391249,0.3481414324569356,-0.004718609034171,2.8236374508021225,15.653593975546924
13,Ses01F_script02_2_F013,2,0.010702172,0.022648199,0.013273369,0.018344924,0.2621359223300971,-0.0050041671784128,0.4289581091909988,1.6251281480878697
15,Ses01F_script02_2_F015,2,0.013251122,0.023459276,0.016554523,0.01660674,0.4541436464088397,-0.0064345849750679,0.4182331993370065,1.914990712207124
16,Ses01F_script02_2_F016,0,0.047188234,0.0930051,0.060231507,0.070655525,0.4890510948905109,-0.0014427193946175,6.941052550906671,12.548745448028509
17,Ses01F_script02_2_F017,5,0.004632744,0.009796941,0.005757597,0.00792338,0.4624373956594323,-0.0051854876801371,0.0801999555385378,0.5621693171240623
19,Ses01F_script02_2_F019,1,0.004441948,0.0068488806,0.005511969,0.0040638745,0.1362339514978602,-0.0053728167586086,0.0325960950944763,0.477868240924243
21,Ses01F_script02_2_F021,2,0.00439255,0.007035587,0.0052944915,0.004614875,0.1826086956521739,-0.0021865851067559,0.035481434734467,0.4306391320392604
22,Ses01F_script02_2_F022,2,0.004595083,0.008605961,0.0055613397,0.0065593813,0.4163636363636364,-0.0093293610916589,0.0585860449684933,0.7995196862884189
23,Ses01F_script02_2_F023,5,0.0017869291,0.0023678553,0.0022131996,0.0008387084,0.0,-0.0081116741057485,0.0033134495522049,0.0141037917134385
25,Ses01F_script02_2_F025,2,0.0046389443,0.0072396225,0.005750983,0.004435523,0.2239263803680981,-0.0073471219366183,0.0367553362384311,0.1089346607677673
26,Ses01F_script02_2_F026,5,0.0025861945,0.0039143325,0.0032384833,0.0022119302,0.0,-0.0055268806136155,0.0105008224288294,0.0304305971341822
27,Ses01F_script02_2_F027,2,0.0030822959,0.006027188,0.0038312224,0.004637507,0.0113636363636363,-0.004527353667072,0.0294147768088116,0.1198060338984662
29,Ses01F_script02_2_F029,2,0.0074779014,0.014224287,0.009379605,0.010629518,0.3629032258064516,-0.0168830138136399,0.1611499856282806,0.262056500536325
30,Ses01F_script02_2_F030,2,0.01032346,0.018855186,0.01265329,0.013955624,0.4714285714285714,-0.0050957410167029,0.2753978967256045,1.4143453044594685
32,Ses01F_script02_2_F032,2,0.005522054,0.011900647,0.006923766,0.009668178,0.5528169014084507,-0.0083787899711751,0.1190911296697721,0.4707996991273342
33,Ses01F_script02_2_F033,2,0.0038725547,0.0063095475,0.004685902,0.0042248145,0.2808988764044944,-0.009467638847127,0.028863218636608,0.2162607530175303
34,Ses01F_script02_2_F034,2,0.005239466,0.008584379,0.006274149,0.005847188,0.4559585492227979,-0.0063208817664417,0.0535010033560707,0.5324457688953899
35,Ses01F_script02_2_F035,2,0.00884519,0.015314974,0.010954908,0.010697606,0.403598971722365,-0.0054884235396457,0.1765758338660663,1.1630790210470765
36,Ses01F_script02_2_F036,2,0.0029894845,0.004656834,0.0036593538,0.00288951,0.0,-0.0117817335194558,0.0152123676839384,0.1111528484925206
37,Ses01F_script02_2_F037,4,0.011009413,0.022304736,0.013750747,0.017552411,0.5125786163522013,-0.0051374399845371,0.4057297371212828,2.1413862705377418
38,Ses01F_script02_2_F038,4,0.006231664,0.0124973655,0.00775952,0.009775183,0.6375838926174496,-0.005649779268424,0.1272082166891437,0.4298124980702431
40,Ses01F_script02_2_F040,2,0.004102902,0.0069522317,0.0051121856,0.0047089364,0.2357723577235772,-0.0068238564381317,0.0360629062761389,0.3011970742846351
41,Ses01F_script02_2_F041,5,0.003647562,0.005610473,0.0045921565,0.0032214206,0.0557851239669421,-0.0070113887886691,0.0218312852738394,0.1262144034207521
42,Ses01F_script02_2_F042,1,0.0051540253,0.009055887,0.0061415667,0.0066663404,0.4841713221601489,-0.0070427936407213,0.0624770079441991,1.250319136197356
